au	py	ti	section	db	full-text	found
Anderson K &amp; Peters G 	2016	The trouble with negative emissions. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000387816500024	Anderson K &amp; Peters G (2016) The trouble with negative emissions. Science, 354,182-183.	2
Bahn O, Chesney M, Gheyssens , Knutti R &amp; Pana AC 	2015	Is there room for geoengineering in the optimal climate 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000352248100007	Bahn O, Chesney M, Gheyssens , Knutti R &amp; Pana AC (2015) Is there room for geoengineering in the optimal climate	2
Barrett S, Lenton TM, Mil ner A, Tavoni A et al 	2014	Climate engineering reconsidered. 	GENERAL	not found	Barrett S, Lenton TM, Mil ner A, Tavoni A et al (2014) Climate engineering reconsidered. Nature Climate Change 4,	0
Boucher O, Forster PM, Gruber N, Ha-Duaong M et al. 	2014	Rethinking climate engineering categorization in the 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000328559200004	Boucher O, Forster PM, Gruber N, Ha-Duaong M et al. (2014) Rethinking climate engineering categorization in the	2
Brienen RJW, Phil ips OL, Feldpausch TR, Gloor E et al. 	2015	Long-term decline of the Amazon carbon sink. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000351171900039	Brienen RJW, Phil ips OL, Feldpausch TR, Gloor E et al. (2015) Long-term decline of the Amazon carbon sink. Nature	2
Caldecott B, Lomax G &amp; Workman M 	2015	Stranded Carbon Assets and Negative Emissions Technologies	GENERAL	not found	Caldecott B, Lomax G &amp; Workman M (2015) Stranded Carbon Assets and Negative Emissions Technologies. Working	0
DECC (UK Department of Energy &amp; Climate Change) and partners 	2015	Prosperous Living for the World in 2050: 	GENERAL	not found	DECC (UK Department of Energy &amp; Climate Change) and partners (2015) Prosperous Living for the World in 2050:	0
Erbach G 	2015	Negative Greenhouse Gas Emissions. Assessments of Feasibility, Potential Effectiveness, Costs and 	GENERAL	not found	Erbach G (2015) Negative Greenhouse Gas Emissions. Assessments of Feasibility, Potential Effectiveness, Costs and	0
www.europarl.europa.eu/RegData/etudes/BRIE/2015/559498/EPRS_BRI	2015	559498_EN.pdf 	GENERAL	not found	www.europarl.europa.eu/RegData/etudes/BRIE/2015/559498/EPRS_BRI(2015)559498_EN.pdf	0
Gasser T, Guivarch C, Tachi ri K, Jones CD &amp; Ciais P 	2015	Negative emissions physically needed to keep global 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000360346700013	Gasser T, Guivarch C, Tachi ri K, Jones CD &amp; Ciais P (2015) Negative emissions physically needed to keep global	1
Rohling EJ &amp; Shakun J  	2016	Young people's burden: Requirement of negative CO2 emissions. 	GENERAL	not found	Rohling EJ &amp; Shakun J  (2016) Young people's burden: Requirement of negative CO2 emissions. Earth System	0
Haszeldine RS 	2016	Can CCS and NET enable the continued use of fossil carbon fuels after CoP21? 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000375089000007	Haszeldine RS (2016) Can CCS and NET enable the continued use of fossil carbon fuels after CoP21? Oxford Review of	1
Jami T, Rawtani D &amp; Agrawal YK 	2016	Hemp concrete: carbon-negative construction. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000392287200011	Jami T, Rawtani D &amp; Agrawal YK (2016) Hemp concrete: carbon-negative construction. Emerging Materials Research	2
Harrison R &amp; Hester R (Eds.) 	2014	Geoengineering of the Climate System	GENERAL	not found	Harrison R &amp; Hester R (Eds.) (2014) Geoengineering of the Climate System. Issues in Environmental Science &amp;	0
Heck V, Gerten D, Lucht W &amp; Boysen LR 	2016	Is extensive terrestrial carbon dioxide removal a ‘green’ form of 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000370454700010	Heck V, Gerten D, Lucht W &amp; Boysen LR (2016) Is extensive terrestrial carbon dioxide removal a ‘green’ form of	1
Heck V, Donges JF &amp; Lucht W 	2016	Collateral transgression of planetary boundaries due to climate engineering by 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000387457900001	Heck V, Donges JF &amp; Lucht W (2016) Collateral transgression of planetary boundaries due to climate engineering by	1
Hulme M 	2014	Can Science Fix Climate Change? A Case against Climate Engineering	GENERAL	not found	Hulme M (2014) Can Science Fix Climate Change? A Case against Climate Engineering. Polity Press, Cambridge UK,	0
Kartha S &amp; Dooley K 	2016	The Risks of Relying on Tomorrow’s ‘Negative Emissions’ to Guide Today’s Mitigation 	GENERAL	not found	Kartha S &amp; Dooley K (2016) The Risks of Relying on Tomorrow’s ‘Negative Emissions’ to Guide Today’s Mitigation	0
Kel er DP, Feng EY &amp; Oschlies 	2014	Potential climate engineering effectiveness and side effects during a high carbon 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000332668000004	Kel er DP, Feng EY &amp; Oschlies (2014) Potential climate engineering effectiveness and side effects during a high carbon	1
Kruger T 	2015	Dimensions of Geoengineering – an Analysis of the Royal Society’s ‘Blob’ Diagram	GENERAL	not found	Kruger T (2015) Dimensions of Geoengineering – an Analysis of the Royal Society’s ‘Blob’ Diagram.  Climate	0
Lefale PF &amp; Anderson CL 	2014	Climate Engineering and Small Island States: Panacea or Catastrophe?	GENERAL	not found	Lefale PF &amp; Anderson CL (2014) Climate Engineering and Small Island States: Panacea or Catastrophe? Opinion Article,	0
le Quéré C, Moriarty R, Andrew RM, Peters GP et al. 	2015	Global carbon budget 2014. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000356934300005	le Quéré C, Moriarty R, Andrew RM, Peters GP et al. (2015) Global carbon budget 2014. Earth System Science Data 7,	2
Linnér B-O &amp; Wibeck V 	2015	Dual high stake emerging technologies: a review of climate engineering research 	GENERAL	not found	Linnér B-O &amp; Wibeck V (2015) Dual high stake emerging technologies: a review of climate engineering research	0
Liu Z &amp; Chen Y 	2015	Impacts, risks, and governance of climate engineering.  	GENERAL	https://apsis.mcc-berlin.net/scoping/document/2-s2.0-84950341970	Liu Z &amp; Chen Y (2015) Impacts, risks, and governance of climate engineering.  Advances in Climate Change Research, 6,	2
Lomax G, Lenton TM, Adeosun A &amp; Workman M 	2015	Investing in negative emissions. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000356814800015	Lomax G, Lenton TM, Adeosun A &amp; Workman M (2015) Investing in negative emissions. Nature Climate Change 5, 498-	2
Lomax G, Workman M, Lenton T &amp; Shah N 	2015	Reframing the policy approach to greenhouse gas removal 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000349731800012	Lomax G, Workman M, Lenton T &amp; Shah N (2015) Reframing the policy approach to greenhouse gas removal	1
Maddali V, Tularam GA &amp; Glynn P 	2015	Economic and time-sensitive issues surrounding CCS: A policy analysis. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000359278400005	Maddali V, Tularam GA &amp; Glynn P (2015) Economic and time-sensitive issues surrounding CCS: A policy analysis.	2
Mathesius S, Hofman M, Caldeira K &amp; Schel nhuber HJ 	2015	Long-term response of oceans to CO2 removal from the 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000366402900022	Mathesius S, Hofman M, Caldeira K &amp; Schel nhuber HJ (2015) Long-term response of oceans to CO2 removal from the	1
McCormack CG, Born W, Irvine PJ, Achterberg EP, Amano T et al. 	2016	Key impacts of climate engineering on 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000386605700002	McCormack CG, Born W, Irvine PJ, Achterberg EP, Amano T et al. (2016) Key impacts of climate engineering on	1
Morton O 	2015	The Planet Remade: How Geoengineering Could Change the World	GENERAL	not found	Morton O (2015) The Planet Remade: How Geoengineering Could Change the World. Princeton Univ. Press, 440 pp.	0
Newbold T, Hudson LN, Hil  SLL, Contu S et al 	2015	Global effects of land use on local terrestrial biodiversity. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/2-s2.0-84926360683	Newbold T, Hudson LN, Hil  SLL, Contu S et al (2015) Global effects of land use on local terrestrial biodiversity. Nature,	2
NRC (National Research Council) 	2015	Climate Intervention: Carbon Dioxide Removal and Reliable Sequestration.	GENERAL	not found	NRC (National Research Council) (2015) Climate Intervention: Carbon Dioxide Removal and Reliable Sequestration.	0
Oldham P, Szerszynski B, Stilgoe J, Brown C, Eacott B &amp; Yuil e A 	2014	Mapping the landscape of climate engineering. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000345278000011	Oldham P, Szerszynski B, Stilgoe J, Brown C, Eacott B &amp; Yuil e A (2014) Mapping the landscape of climate engineering.	1
Petersen A 	2014	 The Emergence of the Geoengineering Debate Within the IPCC.	GENERAL	not found	Petersen A (2014) The Emergence of the Geoengineering Debate Within the IPCC. Case Study, 9 September, 2014,	0
Ryaboshapko AG &amp; Revokatova AP 	2015	A potential role of the negative emission of carbon dioxide in solving the 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000358942100002	Ryaboshapko AG &amp; Revokatova AP (2015) A potential role of the negative emission of carbon dioxide in solving the	1
Sanchez DL &amp; Callaway DS 	2016	Optimal scale of carbon-negative energy facilities. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000374601400039	Sanchez DL &amp; Callaway DS (2016) Optimal scale of carbon-negative energy facilities. Applied Energy, 170, 437-444; doi:	1
Sanchez DL &amp; Kammen DM 	2016	A commercialization strategy for carbon-negative energy. 	GENERAL	not found	Sanchez DL &amp; Kammen DM (2016) A commercialization strategy for carbon-negative energy. Nature Energy, 1, 15002;	0
Schäfer S, Lawrence M, Stelzer H, Born W et al. 	2015	The European Transdisciplinary Assessment of Climate 	GENERAL	not found	Schäfer S, Lawrence M, Stelzer H, Born W et al. (2015) The European Transdisciplinary Assessment of Climate	0
Sil man J, Lenton TM, Levermann A, Ott K et al. 	2015	Climate emergencies do not justify engineering the climate. 	GENERAL	not found	Sil man J, Lenton TM, Levermann A, Ott K et al. (2015) Climate emergencies do not justify engineering the climate.	0
Smith P, Davis SJ, Creutzig F, Fuss S et al 	2016	Biophysical and economic limits to negative CO2 emissions. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/2-s2.0-84951335151	Smith P, Davis SJ, Creutzig F, Fuss S et al (2016) Biophysical and economic limits to negative CO2 emissions. Nature	1
Vaughan NE &amp; Gough C 	2016	Expert assessment concludes negative emissions scenarios may not deliver. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000384060600001	Vaughan NE &amp; Gough C (2016) Expert assessment concludes negative emissions scenarios may not deliver.	1
Wieder WR, Cleveland CC, Smith WK &amp; Todd-Brown K 	2015	Future productivity and carbon storage limited by 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000355236500014	Wieder WR, Cleveland CC, Smith WK &amp; Todd-Brown K (2015) Future productivity and carbon storage limited by	2
Wil iamson P 	2016		GENERAL	not found	Wil iamson P (2016) Emissions reduction: Scrutinize CO2 removal methods. Nature, 530,153–155; doi:	0
Wu P, Ridley J, Pardaens A, Levine R &amp; Lowe J 	2015	The reversibility of CO2 induced climate change. 	GENERAL	not found	Wu P, Ridley J, Pardaens A, Levine R &amp; Lowe J (2015) The reversibility of CO2 induced climate change. Climate	0
Zhang Z, Moore JC, Huisingh D &amp; Zhao Y 	2015	Review of geoengineering approaches to mitigating climate change. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000356990800087	Zhang Z, Moore JC, Huisingh D &amp; Zhao Y (2015) Review of geoengineering approaches to mitigating climate change.	1
Zickfeld K, MacDougall AH &amp; Matthews HD 	2016	On the proportionality between global temperature change and 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000376484300030	Zickfeld K, MacDougall AH &amp; Matthews HD (2016) On the proportionality between global temperature change and	1
Ashworth K, Wild O, El er ASD &amp; Hewitt CN 	2015	Impact of biofuel poplar cultivation on ground-level ozone and 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000358557900035	Ashworth K, Wild O, El er ASD &amp; Hewitt CN (2015) Impact of biofuel poplar cultivation on ground-level ozone and	2
Bonsch M, Humpenöder F, Popp A, Bodirsky B et al. 	2014	Trade-offs between land and water requirements for large-	GENERAL	not found	Bonsch M, Humpenöder F, Popp A, Bodirsky B et al. (2014) Trade-offs between land and water requirements for large-	0
Cai H, Wang J, Feng Y, Wang M et al 	2016	Consideration of land use change-induced surface albedo effects in life-	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000382746300013	Cai H, Wang J, Feng Y, Wang M et al (2016) Consideration of land use change-induced surface albedo effects in life-	1
Case SDC, McNamara NP, Reay DS &amp; Whitaker J 	2014	Can biochar reduce soil greenhouse gas emissions from a 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000327901000008	Case SDC, McNamara NP, Reay DS &amp; Whitaker J (2014) Can biochar reduce soil greenhouse gas emissions from a	2
Creutzig F 	2016	Economic and ecological views on climate change mitigation with bioenergy and negative emissions. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000368172500002	Creutzig F (2016) Economic and ecological views on climate change mitigation with bioenergy and negative emissions.	1
Creutzig F, Ravindranath NH, Berndes G, Bolwig S et al. 	2015	Bioenergy and climate change mitigation: an 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000359384500002	Creutzig F, Ravindranath NH, Berndes G, Bolwig S et al. (2015) Bioenergy and climate change mitigation: an	1
DeLucia E 	2015	How biofuels can cool our climate and strengthen our ecosystems. 	GENERAL	not found	DeLucia E (2015) How biofuels can cool our climate and strengthen our ecosystems. Eos, 96, 14-9.	0
Dondini M, Richards M, Pogson M, McCalmont J et al. 	2015	Simulation of greenhouse gases following land-use 	GENERAL	not found	Dondini M, Richards M, Pogson M, McCalmont J et al. (2015) Simulation of greenhouse gases following land-use	0
Dondini M, Richards M, Pogson M, Jones EO, Rowe RL, Keith AM, McNamara NP, Smith JU &amp; Smith P 	2015	Evaluation 	GENERAL	not found	Dondini M, Richards M, Pogson M, Jones EO, Rowe RL, Keith AM, McNamara NP, Smith JU &amp; Smith P (2015) Evaluation	0
EERE (US Office of Energy Efficiency and Renewable Energy) 	2016	2016 Bil ion-Ton Report: Advancing Domestic 	GENERAL	not found	EERE (US Office of Energy Efficiency and Renewable Energy) (2016) 2016 Bil ion-Ton Report: Advancing Domestic	0
Fuss S, Canadel  JG, Peters GP, Tavoni M et al. 	2014	Betting on negative emissions. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000344597000010	Fuss S, Canadel  JG, Peters GP, Tavoni M et al. (2014) Betting on negative emissions. Nature Climate Change 4, 850-	2
Gomiero T 	2015	Are biofuels an effective and viable energy strategy for industrialized societies? A reasoned 	GENERAL	not found	Gomiero T (2015) Are biofuels an effective and viable energy strategy for industrialized societies? A reasoned	0
Gough C &amp; Vaughan N 	2015	Synthesising Existing Knowledge on the Feasibility of BECCS	GENERAL	not found	Gough C &amp; Vaughan N (2015) Synthesising Existing Knowledge on the Feasibility of BECCS.  AVOID 2 report, ref WPD1a	0
Guo M, Richter GM, Holland RA, Eigenbrod F, Taylor G &amp; Shah N 	2016	Implementing land-use and ecosystem service 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000378854600033	Guo M, Richter GM, Holland RA, Eigenbrod F, Taylor G &amp; Shah N (2016) Implementing land-use and ecosystem service	2
Hetland J, Yowargana P, Leduc S &amp; Kraxner F 	2016	Carbon-negative emissions: Systemic impacts of biomass 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000376459200031	Hetland J, Yowargana P, Leduc S &amp; Kraxner F (2016) Carbon-negative emissions: Systemic impacts of biomass	1
Hunsberger C, Bolwig S, Corbera &amp; Creutzig F 	2014	Livelihood impacts of biofuel crop production: Implications for 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000337776400030	Hunsberger C, Bolwig S, Corbera &amp; Creutzig F (2014) Livelihood impacts of biofuel crop production: Implications for	2
Immerzeel DJ, Verweij PA, van der Hilst F &amp; Faaji ACP 	2014	Biodiversity impacts of bioenergy crop production: a state 	GENERAL	not found	Immerzeel DJ, Verweij PA, van der Hilst F &amp; Faaji ACP (2014) Biodiversity impacts of bioenergy crop production: a state	0
Jonker JG, Junginger HM, Verstegen JA, Lin T, Rodríguez LF et al. 	2016	. Supply chain optimization of sugarcane first 	GENERAL	not found	Jonker JG, Junginger HM, Verstegen JA, Lin T, Rodríguez LF et al. (2016). Supply chain optimization of sugarcane first	0
Kemper J 	2015	Biomass and carbon dioxide capture and storage: A review. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000361577100016	Kemper J (2015) Biomass and carbon dioxide capture and storage: A review. International Journal of Greenhouse Gas	1
Lewandowski I 	2015	Securing a sustainable biomass supply in a growing bioeconomy. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000368569500005	Lewandowski I (2015) Securing a sustainable biomass supply in a growing bioeconomy. Global Food Security 6, 34-42;	2
Liska AJ, Yang H, Milner M. Goddard S et al. 	2014	Biofuels from crop residue can reduce soil carbon and increase CO2 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000335403500031	Liska AJ, Yang H, Milner M. Goddard S et al. (2014) Biofuels from crop residue can reduce soil carbon and increase CO2	2
Lovett A, Sünnenberg G &amp; Dockerty T 	2014	The availability of land for perennial energy crops in Great Britain. 	GENERAL	not found	Lovett A, Sünnenberg G &amp; Dockerty T (2014) The availability of land for perennial energy crops in Great Britain. Global	0
McCalmont JP, McNamara NP, Donnison IS, Farrar K &amp; Clifton-Brown JC 	2016	An inter-year comparison of CO2 flux 	GENERAL	not found	McCalmont JP, McNamara NP, Donnison IS, Farrar K &amp; Clifton-Brown JC (2016) An inter-year comparison of CO2 flux	0
McCalmont JP, McNamara NP, Donnison IS, Farrar K &amp; Clifton-Brown JC 	2016	Partitioning of ecosystem respiration of 	GENERAL	not found	McCalmont JP, McNamara NP, Donnison IS, Farrar K &amp; Clifton-Brown JC (2016) Partitioning of ecosystem respiration of	0
Moreira JR, Romeiro V, Fuss S, Kraxner F &amp; Pacca SA 	2016	BECCS potential in Brazil: Achieving negative emissions in 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000383291800006	Moreira JR, Romeiro V, Fuss S, Kraxner F &amp; Pacca SA (2016) BECCS potential in Brazil: Achieving negative emissions in	1
Muratori M, Calvin K, Wise M, Kyle P, Edmonds J 	2016	Global economic consequences of deploying bioenergy with 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000384060600002	Muratori M, Calvin K, Wise M, Kyle P, Edmonds J (2016) Global economic consequences of deploying bioenergy with	1
Pogson M, Richards M, Dondini M, Jones EO et al. 	2016	ELUM: A spatial model ing tool to predict soil greenhouse gas 	GENERAL	not found	Pogson M, Richards M, Dondini M, Jones EO et al. (2016) ELUM: A spatial model ing tool to predict soil greenhouse gas	0
Popp A, Rose S, Calvin K, Vuuren D et al 	2014	Land-use transition for bioenergy and climate stabilization: model 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000334414900011	Popp A, Rose S, Calvin K, Vuuren D et al (2014) Land-use transition for bioenergy and climate stabilization: model	2
Raffa DW, Bogdanski A &amp; Tittonel  P 	2015	How does crop residue removal affect soil organic carbon and yield? A 	GENERAL	not found	Raffa DW, Bogdanski A &amp; Tittonel  P (2015) How does crop residue removal affect soil organic carbon and yield? A	0
Richards M, Pogson M, Dondini M, Jones EO et al. 	2016	. High-resolution spatial model ing of greenhouse gas 	GENERAL	not found	Richards M, Pogson M, Dondini M, Jones EO et al. (2016). High-resolution spatial model ing of greenhouse gas	0
Rol inson AN &amp; Wil iams O 	2016	Experiments on torrefied wood pel et: study by gasification and characterization for 	GENERAL	not found	Rol inson AN &amp; Wil iams O (2016) Experiments on torrefied wood pel et: study by gasification and characterization for	0
Rytter RM, Rytter L &amp; Högbom L 	2015	Carbon sequestration in wil ow (	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000367084100050	Rytter RM, Rytter L &amp; Högbom L (2015) Carbon sequestration in wil ow (Salix spp.) plantations on former arable land	1
Sabbatini S, Arriga N, Bertolini T, Castaldi S et al. 	2016	Greenhouse gas balance of cropland conversion to bioenergy 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000369524000007	Sabbatini S, Arriga N, Bertolini T, Castaldi S et al. (2016) Greenhouse gas balance of cropland conversion to bioenergy	2
Samsatli S, Samsatli NJ &amp; Shah N 	2015	BVCM: A comprehensive and flexible toolkit for whole system biomass value 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000353755000014	Samsatli S, Samsatli NJ &amp; Shah N (2015) BVCM: A comprehensive and flexible toolkit for whole system biomass value	2
Sanchez DL &amp; Callaway DS 	2016	Optimal scale of carbon-negative energy facilities.  	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000374601400039	Sanchez DL &amp; Callaway DS (2016) Optimal scale of carbon-negative energy facilities.  Applied Energy, 170, 437-44; doi:	1
Sanchez DL, Nelson JH, Johnston J, Mileva A &amp; Kammen DM 	2015	Biomass enables the transition to a carbon-	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000350327800017	Sanchez DL, Nelson JH, Johnston J, Mileva A &amp; Kammen DM (2015) Biomass enables the transition to a carbon-	1
Searchinger T &amp; Heinlich 	2015	Avoiding Bioenergy Competition for Food Crops and Land.	GENERAL	not found	Searchinger T &amp; Heinlich (2015) Avoiding Bioenergy Competition for Food Crops and Land. Working Paper 9 of Creating	0
Searchinger T, Edwards R, Mul igan D, Heimlich R &amp; Plevin R 	2015	Do biofuel policies seek to cut emissions by cutting 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/2-s2.0-84963949900	Searchinger T, Edwards R, Mul igan D, Heimlich R &amp; Plevin R (2015) Do biofuel policies seek to cut emissions by cutting	2
Souza GM, Victoria R, Joly C &amp; Verdade L (eds) 	2015	 Bioenergy &amp; Sustainability: Bridging the Gaps	GENERAL	not found	Souza GM, Victoria R, Joly C &amp; Verdade L (eds) (2015) Bioenergy &amp; Sustainability: Bridging the Gaps. Scientific	0
Stephenson AL &amp; Mackay DJC 	2014	Life Cycle Impacts of Biomass Electricity in 2020	GENERAL	not found	Stephenson AL &amp; Mackay DJC (2014) Life Cycle Impacts of Biomass Electricity in 2020. UK Department of Energy &amp;	0
Tokimatsu K, Yasuoka R &amp; Nishio M 	2016	Global zero emissions scenarios: The role of biomass energy with carbon 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000367631000130	Tokimatsu K, Yasuoka R &amp; Nishio M (2016) Global zero emissions scenarios: The role of biomass energy with carbon	1
Vaughan NE &amp; Gough C 	2015	Synthesising Existing Knowledge on Feasibility of BECCS; Workshop Report.	GENERAL	not found	Vaughan NE &amp; Gough C (2015) Synthesising Existing Knowledge on Feasibility of BECCS; Workshop Report. AVOID 2	0
Vukašinović V &amp; Gordić D 	2016	Optimization and GIS-based combined approach for the determination of the most 	GENERAL	not found	Vukašinović V &amp; Gordić D (2016) Optimization and GIS-based combined approach for the determination of the most	0
Whittaker C, Macalpine W, Yates NE &amp; Shield I 	2015	Dry matter losses and methane emissions during wood chip 	GENERAL	not found	Whittaker C, Macalpine W, Yates NE &amp; Shield I (2015) Dry matter losses and methane emissions during wood chip	0
Abomohra AE, Jin W, Tu R, Han SF et al 	2016	Microalgal biomass production as a sustainable feedstock for biodiesel: 	Micro-algal biofuels	https://apsis.mcc-berlin.net/scoping/document/WOS:000381833200043	Abomohra AE, Jin W, Tu R, Han SF et al (2016) Microalgal biomass production as a sustainable feedstock for biodiesel:	2
Bauer SK, Grotz LS, Connel y EB &amp; Colosi LM 	2016	Reevaluation of the global warming impacts of algae-derived 	Micro-algal biofuels	https://apsis.mcc-berlin.net/scoping/document/WOS:000384710500028	Bauer SK, Grotz LS, Connel y EB &amp; Colosi LM (2016) Reevaluation of the global warming impacts of algae-derived	2
Doshi A, Pascoe S, Coglan L &amp; Rainey TJ 	2016	Economic and policy issues in the production of algae-based biofuels: A 	Micro-algal biofuels	https://apsis.mcc-berlin.net/scoping/document/WOS:000381833200023	Doshi A, Pascoe S, Coglan L &amp; Rainey TJ (2016) Economic and policy issues in the production of algae-based biofuels: A	2
Hwang JH, Church J, Lee SJ, Park J &amp; Lee WH 	2016	Use of Microalgae for Advanced Wastewater Treatment and 	Micro-algal biofuels	https://apsis.mcc-berlin.net/scoping/document/WOS:000386943600006	Hwang JH, Church J, Lee SJ, Park J &amp; Lee WH (2016) Use of Microalgae for Advanced Wastewater Treatment and	2
Moreira D &amp; Pires JC 	2016	Atmospheric CO2 capture by algae: negative carbon dioxide emission path. 	Micro-algal biofuels	https://apsis.mcc-berlin.net/scoping/document/WOS:000377935100040	Moreira D &amp; Pires JC (2016) Atmospheric CO2 capture by algae: negative carbon dioxide emission path. Bioresource	1
Quinn JC &amp; Davis R 	2015	The potentials and challenges of algae based biofuels: A review of the techno-economic, life 	Micro-algal biofuels	not found	Quinn JC &amp; Davis R (2015) The potentials and challenges of algae based biofuels: A review of the techno-economic, life	0
Scranton MA, Ostrand JT, Fields FJ &amp; Mayfield SP 	2015	Chlamydomonas	Micro-algal biofuels	not found	Scranton MA, Ostrand JT, Fields FJ &amp; Mayfield SP (2015) Chlamydomonas as a model for biofuels and bio-products	0
Vassilev SV &amp; Vassileva CG 	2016	Composition, properties and challenges of algae biomass for biofuel application: An 	Micro-algal biofuels	https://apsis.mcc-berlin.net/scoping/document/WOS:000377328700001	Vassilev SV &amp; Vassileva CG (2016) Composition, properties and challenges of algae biomass for biofuel application: An	2
Alkama R &amp; Cescatti A 	2016	Biophysical climate impacts of recent changes in global forest cover. 	Afforestation and Reforestation	https://apsis.mcc-berlin.net/scoping/document/WOS:000369291600040	Alkama R &amp; Cescatti A (2016) Biophysical climate impacts of recent changes in global forest cover. Science, 351, 600-	1
Burrascano S, Chytrý M, Kuemmerle T, Giarrizzo E et al. 	2016	Current European policies are unlikely to jointly foster 	Afforestation and Reforestation	https://apsis.mcc-berlin.net/scoping/document/WOS:000384782800044	Burrascano S, Chytrý M, Kuemmerle T, Giarrizzo E et al. (2016) Current European policies are unlikely to jointly foster	1
Chazdon RL, Broadbent EN, Rozendaal, Bongers F et al. 	2016	Carbon sequestration potential of second growth 	Afforestation and Reforestation	not found	Chazdon RL, Broadbent EN, Rozendaal, Bongers F et al. (2016) Carbon sequestration potential of second growth	0
Houghton RA, Byers B &amp; Nassikas AA 	2015	A role for tropical forests in stabilizing atmospheric CO2. Nature Climate 	Afforestation and Reforestation	https://apsis.mcc-berlin.net/scoping/document/WOS:000366402900002	Houghton RA, Byers B &amp; Nassikas AA (2015) A role for tropical forests in stabilizing atmospheric CO2. Nature Climate	2
Kreidenweis U, Humpenöder F, Stevanović M, Bodirsky BL et al. 	2016	Afforestation to mitigate climate change: 	Afforestation and Reforestation	https://apsis.mcc-berlin.net/scoping/document/WOS:000381828300018	Kreidenweis U, Humpenöder F, Stevanović M, Bodirsky BL et al. (2016) Afforestation to mitigate climate change:	1
Locatel i B, Catterall CP, Imbach P, Kumar C et al. 	2015	Tropical reforestation and climate change: beyond carbon. 	Afforestation and Reforestation	https://apsis.mcc-berlin.net/scoping/document/WOS:000358127300002	Locatel i B, Catterall CP, Imbach P, Kumar C et al. (2015) Tropical reforestation and climate change: beyond carbon.	1
Matthews R, Mortimer N, Lesschen JP, Lindroos TJ et al. 	2015	Carbon impact of biomass consumed in the EU: 	Afforestation and Reforestation	not found	Matthews R, Mortimer N, Lesschen JP, Lindroos TJ et al. (2015) Carbon impact of biomass consumed in the EU:	0
Metcalfe DB, Ricciuto D, Palmroth S, Campbel  C et al. 	2016	Informing climate models with rapid chamber 	Afforestation and Reforestation	not found	Metcalfe DB, Ricciuto D, Palmroth S, Campbel  C et al. (2016) Informing climate models with rapid chamber	0
